Callsign,QTH,MAIN URL:URL,MAIN URL:Title,MAIN URL:Description,GRAB URL:URL,GRAB URL:Title,GRAB URL:Description,Notes
7L1RLL,Japan,http://www1.u-netsurf.ne.jp/~7l1rll/Grabber_7L1RLL.html,http://www1.u-netsurf.ne.jp/~7l1rll/argo_capture.jpg,,http://www1.u-netsurf.ne.jp/~7l1rll/argo_capture.jpg,,,
AJ4VD,"Gainesville, Florida",http://www.SWHarden.com/qrss/,http://www.swharden.com/qrss/grabber.jpg,,http://www.swharden.com/qrss/grabber.jpg,,,
DF2JP,Joe 475KHZ,http://www.df2jp.dxx.eu/mwgrabber.html,http://www.df2jp.dxx.eu/mwgrabber.html,,http://www.df2jp.dxx.eu/mwgrabber.html,,,
EA8BVP,Canary Islands,http://www.qsl.net/ea8bvp/grabber.html,http://www.qsl.net/ea8bvp/argo.jpg,,http://www.qsl.net/ea8bvp/argo.jpg,,,
F0FEC,FRANCE,http://f0fec.free.fr/qrss,http://f-20680.pagesperso-orange.fr/QRSS/qrss.jpg,,http://f-20680.pagesperso-orange.fr/QRSS/qrss.jpg,,,
F6BAZ,France,http://www.f6baz.com/qrss,http://www.f6baz.com/qrss/argo.jpg,,http://www.f6baz.com/qrss/argo.jpg,,,
G0FTD,JO01MI (OCCASIONAL),http://www.qsl.net/g0ftd/grabber.htm,http://www.qsl.net/g0ftd/capt.jpg,,http://www.qsl.net/g0ftd/capt.jpg,,,
G0MQW,"Chris, Reading, Berkshire, England",,http://www.qsl.net/g0mqw/,,http://www.qsl.net/g0mqw/,,,
G3VYZ,"Les,Holywell, Northumberland, UK",http://www.holywell44.com/qrss/qrss.htm,Currently three grabbers here usually 80m / 40m / 10m (occasionally variable),,http://www.holywell44.com/qrss/qrss.htm,,,
G4HSK,"Essex, England",http://grabber.g4hsk.co.uk/,Grabber page.,,https://drive.google.com/uc?export=download&id=0B8Z2hz2xFYhubGtzLUZaQk03azQ,,,
G4JVF,"North Derbyshire, UK",http://www.qsl.net/g4jvf/,http://www.qsl.net/g4jvf/,,http://www.qsl.net/g/g4jvf/qrss/qrss.jpg,,,
G6AVK,"Essex, England",http://www.qsl.net/g6avk/,http://www.qsl.net/g6avk/,,http://www.qsl.net/g6avk/capt.jpg,,,
G6NHU,England,http://g6nhu.co.uk,http://g6nhu.co.uk/images/capture.jpg,,http://g6nhu.co.uk/images/capture.jpg,,,
G8NXD,"Mike GRABBER 1,Truro",http://www.pencoys.org.uk/qrss/qrss.htm,,,http://www.pencoys.org.uk/qrss/qrss.htm,,,
